code,error,action
91,CMU_5_CELL_0_VOLT>4,"Slow,Open_BMS_C"
92,CMU_5_CELL_1_VOLT>4,"Slow,Open_BMS_C"
93,CMU_5_CELL_2_VOLT>4,"Slow,Open_BMS_C"
94,CMU_5_CELL_3_VOLT>4,"Slow,Open_BMS_C"
95,CMU_5_CELL_4_VOLT>4,"Slow,Open_BMS_C"
96,CMU_5_CELL_5_VOLT>4,"Slow,Open_BMS_C"
97,Battery SOC > 114,"Slow,Open_BMS_C"
98,Battery SOC Percent % < 10,"Slow,Open_BMS_C"
99,Battery SOC Percent % > 90,"Slow,Open_BMS_C"
100,Cell Voltage <3,"Slow,Open_BMS_C"
101,Cell Voltage >4,"Slow,Open_BMS_C"
102,Minimum_cell_temp > 40,"Slow"
103,Minimum_cell_temp > 50,"Slow,Open_BMS_C"
104,Maximum_cell_temp > 40,"Slow"
105,Maximum_cell_temp > 50,"Slow,Open_BMS_C"
106,Voltage < 160,"Slow,Open_BMS_C"





